artistas,colaboracion,genero_musical,nombre,ano_lanzamiento,id,tipo
"Mobi Dixon, Trankei Republic",True,pop,Ubudoda,2016,6UHHHWpqhYg0Q3rU1Yy6nS,track
Vice Vukov,False,pop,Kupačica,2016,56Kwvuz0iMbmwJYOymu81l,track
Trío Martino,False,pop,La Mentira,2016,6nYYdo2YcxH64N2Kb8slUo,track
Mägo de Oz,False,metal,La danza del fuego - Versión 2015,2015,4w8v5JD4AerV4rdzyqhGFp,track
Hira,False,metal,Doinu Berrien Bila,2015,1xsnVJAMYuhwPSjc7sBgyc,track
Mojinos Escozios,False,metal,¡Sí se puede!,2015,4XCIZprYGwwSp128P6cZMb,track
Hira,False,metal,Doinu berrien bila,2015,6KwyCetReY6gqVigVB4Qrp,track
Death Blossoms,False,metal,Space Age Love Song - Instrumental,2015,1GUUCV42xfMztmtmEvrrlW,track
Insaniam,False,metal,Sensory Dawn of Release,2015,5IPb2lcrU8S6tmbzVOOORZ,track
Evil Conspiracy,False,metal,Scars with Pride,2015,6PDDzEnyzlwAnT9PmCgQIs,track
OJM,False,metal,Theorem,2015,57kDktav1o0AjOloOzZpwT,track
Abandoned Elysium,False,metal,God Ceo,2015,359Uni2tsQF9VN5foCXDy2,track
Jengloth,False,metal,Leak,2015,1yZe4uP3A6GmgnBDZ7frHV,track
Incinerating Prophecies,False,metal,Praying to the Void,2015,1ODcKKFWViAxS2ZCIQfSFa,track
Humungus,False,metal,Shark Castle,2015,6Q5YPs4tKxfgkOPzJZZUWT,track
Nuclear,False,metal,Waging War,2015,130GXoKArjI2GrViiYf2bo,track
After Apocalypse,False,metal,Sentence,2015,1v7z4dg3ytWDgohXout8Jx,track
Human Waste,False,metal,Beauty Also Rots,2015,7D7qVABJIf6CjimYgP2BI9,track
Awaiting Ezkaton,False,metal,Goliath,2015,3uxc5v657Iv1rnf7bSHkPn,track
Antonello Giliberto,False,metal,Endless Labyrinth,2015,5U5l96b51wJzfFyn1wkXE1,track
Kronos Resistor,False,metal,Understanding the Supermassive,2015,1t1qvcUcnzcRzF8V3MYSDk,track
Tigertailz,False,metal,Daggers,2015,2xo0ifCwAH6mTnrz14ZjPD,track
Farasu,False,metal,Gempita Mastika,2015,02yoYdRJxXfGyU1gazkJRa,track
Hyonblud,False,metal,The Lusting Hour for Flesh (Wami Version),2015,7FTMbBkEYTOcbkVZoAPx1B,track
Whythre,False,metal,Paranoia Delusion,2015,4vZ5W5KhDbbjrIZv0vklvb,track
The Killing Hours,False,metal,The Denied,2015,4UYUe1ShQ4UtFs29d6XTaq,track
Зеркальный лабиринт,False,metal,Повелитель стихий,2015,1SlcTnCzFnr1R8iQpMU9d4,track
Black Medicine,False,metal,MISDIRECTED RAGE,2015,19pC3sqLQFr9Q3CdTrY0Fk,track
Crossing Death,False,metal,Some Places in My Brain,2015,5t8jbQYMFdgq21TdD7SeDG,track
Salvation,False,metal,Inno in Senses,2015,3uz6PceSV4lFrgYHgckSdz,track
Piraña,False,metal,Metálica (Six Beer original),2015,3TSTrTaJqvCPWMFyysNfGK,track
Equidad Catacraneo,False,metal,Cadaver,2015,0XouEHCTN7MPSxm5NxwPdB,track
Electroqute,False,metal,Malikhoolia (Acoustic),2015,7M9rxkx4HV7BR0dosAkLyS,track
Martillo Austral,False,metal,The Origin (Warfare II),2015,5tHhYTSsz8moSOZmdDfi1h,track
The Canyon Observer,False,metal,Lost in Silence,2015,4UYIFvpFFkMQi0TFFL9ftV,track
Grÿmt,False,metal,Equilibrium,2015,5DFAoR4kNTTTa885yZdIbI,track
Isengrim,False,metal,Maata Ja Multaa,2015,3ym7J0k7KLebIxgAUzYCBM,track
Formally Lethargic,False,metal,The Primacy of Practicality,2015,3NZ00HmSh78PRTgOEISFQT,track
Larva,False,metal,Inféctame - en vivo,2015,3fwjnAHAN6PREmSTGaimMG,track
Bullet Course,False,metal,Dopamina II,2015,0R7vetT9isxvRfUEbsKEsM,track
Lord Almighty,False,metal,The Vessel,2015,2NUZfF1w0JtCze3VQcbrcC,track
Hyonblud,False,metal,Indulgence of Slice Up,2015,4boCuor6PCrcGlGHRVW9By,track
Box,False,metal,Pony_Killer,2015,31qye3me2ABWrgOsb5bsWq,track
Hereza,False,metal,Dead Army March,2015,3OCnAT8KJWQkkBfuFemmhW,track
Brudywr,False,metal,Dark God,2015,2AWHYVbjsM6MoYGJwtv24j,track
Joseph A. Peragine,False,metal,Shutdown,2015,1pxBp0PtgfoloqtNxheCvD,track
"Look the Part, Be the Part, Motherfucker",False,metal,Valid Point,2015,6qZyp1Yiwf7GoMiqGKtUHa,track
Feanor Omega,False,metal,Die Sonne Weint,2015,5CwhFAm0B9vvGzGC64zEso,track
Khepri,False,metal,All I Am,2015,14u5SCtZ4ArZVynss9DFZ0,track
Angel 7,False,metal,What the Lord Has Built,2015,7GSOTmiNspVXKXYkBIh0o9,track
Defect Designer,False,metal,Flies On Your Lips,2015,1OEWGLwIrse7T95s1wTg2r,track
Concatenation,False,metal,Unnamed Threat,2015,6V8XgX5ku4v6o49zPKxFe4,track
Akem Manah,False,metal,Chant for Ezkaton 2000,2015,7jKcpaTUEcfnpp4F7XOtuf,track
Condescension,False,metal,FFF,2015,4o4MlxfyPSdO291t0gyOcu,track
Awakened Inferno,False,metal,Soul Release,2015,1VTYX6VBa9QPuWf1lUE0p6,track
Nightmare,False,metal,Pride of humanity,2015,1YDVrjwx7Hg0jTA77MlCR5,track
Elegiac,False,metal,Dead in the Wind,2015,03ynP0W7BXO5GT5lG62iMF,track
Yggdrassil,False,metal,Drakkar,2015,3qBx8NfTHmeE2ADOcNVIFq,track
Embalming Theatre,False,metal,Cut to fit (Nasum),2015,7LzfC2TjvznsoYtC6slLk9,track
Piraña,False,metal,1812,2015,35BQTTvQLEsZIYodlOJmoA,track
Screaming Condors,False,metal,Comitter,2015,4J6uY2D0NHAAIAhpPExg18,track
Ketzer,False,metal,Starless (Demo),2015,3PBjbHhxjY9nIAbMZzbM4C,track
Bleating Apocalypse,False,metal,Sun and Showers,2015,131TBpZHlORmaKAHB3eShZ,track
Deathtune,False,metal,Insanity,2015,65C5BEPeaVoqaSm1aidwBS,track
